college,sport,city,division,enrollment_male,enrollment_female,enrollment_total,college_type,gender,participants_male,participants_female,opexp_per_male,opexp_per_male_team,opexp_per_female,opexp_per_female_team, revenue_male,revenue_female,expense_male,expense_female
The College of Saint Rose,"Track and Field, X-Country",Albany,NCAA Division II (without football),852,1655,2507,"Private nonprofit, 4-year or above",Men,14,,1280,17918,,,32866,,32866,
SUNY at Albany,"Track and Field, X-Country",Albany,NCAA Division I-AA,6228,5867,12095,"Public, 4-year or above",Men,17,,1737,29522,,,36168,,32685,
Hartwick College,"Track and Field, X-Country",Oneonta,NAIA Division III,591,915,1506,"Private nonprofit, 4-year or above",Men,11,,738,8113,,,26930,,26930,
Finger Lakes Community College,"Track and Field, X-Country",Canandaigua,NJCAA Division III,1506,1750,3256,"Public, 2-year",Men,7,,1386,9703,,,25127,,25127,
Berkeley College-New York,"Track and Field, X-Country",New York,Other,1449,2433,3882,"Private for-profit, 4-year or above",Men,7,,3054,21377,,,24378,,24378,
Paul Smiths College of Arts and Science,"Track and Field, X-Country",Paul Smiths,Other,570,311,881,"Private nonprofit, 4-year or above",Men,13,,1046,13593,,,24269,,24269,
Hobart William Smith Colleges,"Track and Field, X-Country",Geneva,NCAA Division III (with football),1094,1248,2342,"Private nonprofit, 4-year or above",Men,18,,773,13906,,,24053,,24053,
SUNY Institute of Technology at Utica-Rome,"Track and Field, X-Country",Utica,NCAA Division III (without football),1090,523,1613,"Public, 4-year or above",Men,14,,924,12941,,,24515,,23940,
Sarah Lawrence College,"Track and Field, X-Country",Bronxville,Other,385,966,1351,"Private nonprofit, 4-year or above",Men,5,,624,3119,,,23794,,23794,
Morrisville State College,"Track and Field, X-Country",Morrisville,NCAA Division III (with football),1283,1221,2504,"Public, 4-year or above",Men,15,,690,10350,,,21966,,21966,
Dowling College,"Track and Field, X-Country",Oakdale,NCAA Division II (without football),562,518,1080,"Private nonprofit, 4-year or above",Men,7,,635,4446,,,21396,,21396,
CUNY Kingsborough Community College,"Track and Field, X-Country",Brooklyn,NJCAA Division III,4767,5398,10165,"Public, 2-year",Men,10,,1000,10000,,,21959,,20920,
CUNY John Jay College of Criminal Justice,"Track and Field, X-Country",New York,NCAA Division III (without football),4393,5826,10219,"Public, 4-year or above",Men,9,,276,2487,,,20912,,20912,
SUNY College of Technology at Alfred,"Track and Field, X-Country",Alfred,NCAA Division III (with football),2139,1187,3326,"Public, 4-year or above",Men,21,,227,4765,,,22400,,20326,
CUNY Queens College,"Track and Field, X-Country",Queens,NCAA Division II (without football),4942,6119,11061,"Public, 4-year or above",Men,10,,274,2738,,,19342,,19342,
SUNY Maritime College,"Track and Field, X-Country",Throggs Neck,NCAA Division III (with football),1419,160,1579,"Public, 4-year or above",Men,13,,769,9991,,,15390,,18939,
Keuka College,"Track and Field, X-Country",Keuka Park,NCAA Division III (without football),383,964,1347,"Private nonprofit, 4-year or above",Men,9,,834,7506,,,18815,,18815,
SUNY College at Old Westbury,"Track and Field, X-Country",Old Westbury,NCAA Division III (without football),1494,2142,3636,"Public, 4-year or above",Men,7,,1519,10631,,,18409,,18409,
Onondaga Community College,"Track and Field, X-Country",Syracuse,NJCAA Division III,3184,3062,6246,"Public, 2-year",Men,9,,906,8150,,,16689,,17647,
Yeshiva University,"Track and Field, X-Country",New York,NCAA Division III (without football),1433,1291,2724,"Private nonprofit, 4-year or above",Men,11,,892,9807,,,16827,,16827,
The Sage Colleges,"Track and Field, X-Country",Troy,NCAA Division III (without football),311,1147,1458,"Private nonprofit, 4-year or above",Men,6,,546,3275,,,16677,,16677,
CUNY Bernard M Baruch College,"Track and Field, X-Country",New York,NCAA Division III (without football),5673,5123,10796,"Public, 4-year or above",Men,6,,772,4629,,,17356,,15765,
SUNY at Purchase College,"Track and Field, X-Country",Purchase,NCAA Division III (without football),1648,2046,3694,"Public, 4-year or above",Men,8,,542,4337,,,16000,,15530,
SUNY College of Technology at Canton,"Track and Field, X-Country",Canton,Other,1288,1505,2793,"Public, 4-year or above",Men,12,,556,6668,,,18182,,14964,
Herkimer County Community College,"Track and Field, X-Country",Herkimer,NJCAA Division III,810,1023,1833,"Public, 2-year",Men,8,,279,2231,,,14309,,14309,
College of Staten Island CUNY,"Track and Field, X-Country",Staten Island,NCAA Division III (without football),4528,5493,10021,"Public, 4-year or above",Men,12,,739,8870,,,14145,,14145,
Manhattanville College,"Track and Field, X-Country",Purchase,NCAA Division III (without football),609,1098,1707,"Private nonprofit, 4-year or above",Men,4,,152,609,,,12246,,13059,
SUNY College at Potsdam,"Track and Field, X-Country",Potsdam,NCAA Division III (without football),1562,2011,3573,"Public, 4-year or above",Men,11,,491,5403,,,13045,,13045,
Farmingdale State College,"Track and Field, X-Country",Farmingdale,NCAA Division III (without football),3701,2451,6152,"Public, 4-year or above",Men,13,,307,3987,,,12987,,12987,
College of Mount Saint Vincent,"Track and Field, X-Country",Bronx,NCAA Division III (without football),490,1087,1577,"Private nonprofit, 4-year or above",Men,9,,733,6600,,,12714,,12942,
Medaille College,"Track and Field, X-Country",Buffalo,NCAA Division III (without football),561,1188,1749,"Private nonprofit, 4-year or above",Men,9,,610,5487,,,13192,,12706,
SUNY Broome Community College,"Track and Field, X-Country",Binghamton,NJCAA Division III,1973,2318,4291,"Public, 2-year",Men,9,,848,7632,,,12428,,12428,
CUNY City College,"Track and Field, X-Country",New York,NCAA Division III (without football),4509,4790,9299,"Public, 4-year or above",Men,16,,220,3526,,,15154,,12145,
Sullivan County Community College,"Track and Field, X-Country",Loch Sheldrake,NJCAA Division III,432,475,907,"Public, 2-year",Men,7,,1181,8269,,,11995,,11995,
Mohawk Valley Community College,"Track and Field, X-Country",Utica,NJCAA Division III,1985,2002,3987,"Public, 2-year",Men,12,,487,5844,,,11627,,11627,
Nassau Community College,"Track and Field, X-Country",Garden City,NJCAA Division III,6765,6210,12975,"Public, 2-year",Men,4,,357,1428,,,11535,,11535,
Hudson Valley Community College,"Track and Field, X-Country",Troy,NJCAA Division III,3578,2594,6172,"Public, 2-year",Men,5,,1441,7203,,,10616,,10616,
SUNY College of Environmental Science and Forestry,"Track and Field, X-Country",Syracuse,Other,919,751,1670,"Public, 4-year or above",Men,18,,372,6694,,,9985,,10194,
CUNY Brooklyn College,"Track and Field, X-Country",Brooklyn,NCAA Division III (without football),4115,5697,9812,"Public, 4-year or above",Men,10,,553,5530,,,9988,,9988,
Bard College,"Track and Field, X-Country",Annandale-On-Hudson,NCAA Division III (without football),888,1094,1982,"Private nonprofit, 4-year or above",Men,9,,542,4879,,,8883,,8883,
Wells College,"Track and Field, X-Country",Aurora,NCAA Division III (without football),172,347,519,"Private nonprofit, 4-year or above",Men,7,,445,3115,,,8846,,8846,
Alfred University,"Track and Field, X-Country",Alfred,NCAA Division III (with football),928,881,1809,"Private nonprofit, 4-year or above",Men,12,,143,1715,,,8817,,8817,
Hilbert College,"Track and Field, X-Country",Hamburg,NCAA Division III (without football),370,472,842,"Private nonprofit, 4-year or above",Men,12,,339,4068,,,8635,,8635,
Albany College of Pharmacy and Health Sciences,"Track and Field, X-Country",Albany,Other,423,632,1055,"Private nonprofit, 4-year or above",Men,10,,269,2685,,,6918,,8312,
D'Youville College,"Track and Field, X-Country",Buffalo,NCAA Division III (without football),416,1087,1503,"Private nonprofit, 4-year or above",Men,10,,556,5559,,,8059,,8059,
CUNY Queensborough Community College,"Track and Field, X-Country",Bayside,NJCAA Division III,4558,4966,9524,"Public, 2-year",Men,11,,379,4169,,,6890,,6890,
Cazenovia College,"Track and Field, X-Country",Cazenovia,NCAA Division III (without football),271,692,963,"Private nonprofit, 4-year or above",Men,6,,565,3387,,,5544,,5544,
Dutchess Community College,"Track and Field, X-Country",Poughkeepsie,NJCAA Division III,2316,2289,4605,"Public, 2-year",Men,3,,280,839,,,5508,,4990,
Vaughn College of Aeronautics and Technology,"Track and Field, X-Country",Flushing,Other,1092,169,1261,"Private nonprofit, 4-year or above",Men,8,,172,1375,,,4475,,4475,
Pratt Institute-Main,"Track and Field, X-Country",Brooklyn,Other,981,2146,3127,"Private nonprofit, 4-year or above",Men,3,,502,1506,,,4390,,4390,
SUNY College at Cortland,"Track and Field, X-Country",Cortland,NCAA Division III (with football),2631,3572,6203,"Public, 4-year or above",Women,,40,,,587,23461,,48619,,48619
Roberts Wesleyan College,"Track and Field, X-Country",Rochester,NCAA Division II (without football),385,834,1219,"Private nonprofit, 4-year or above",Women,,26,,,562,14599,,62370,,62370
The Sage Colleges,"Track and Field, X-Country",Troy,NCAA Division III (without football),311,1147,1458,"Private nonprofit, 4-year or above",Women,,25,,,428,10694,,24640,,24640
Rochester Institute of Technology,"Track and Field, X-Country",Rochester,Other,8188,4003,12191,"Private nonprofit, 4-year or above",Women,,23,,,637,14651,,42099,,42099
St Lawrence University,"Track and Field, X-Country",Canton,NCAA Division III (with football),1065,1215,2280,"Private nonprofit, 4-year or above",Women,,22,,,590,12973,,75274,,75274
Hofstra University,"Track and Field, X-Country",Hempstead,NCAA Division I-AAA,2970,3460,6430,"Private nonprofit, 4-year or above",Women,,20,,,1229,24585,,197395,,197395
Hamilton College,"Track and Field, X-Country",Clinton,NCAA Division III (with football),918,972,1890,"Private nonprofit, 4-year or above",Women,,20,,,544,10886,,40481,,40481
SUNY College at Plattsburgh,"Track and Field, X-Country",Plattsburgh,NCAA Division III (without football),2265,2813,5078,"Public, 4-year or above",Women,,19,,,490,9312,,44771,,53473
Hobart William Smith Colleges,"Track and Field, X-Country",Geneva,NCAA Division III (with football),1094,1248,2342,"Private nonprofit, 4-year or above",Women,,19,,,795,15110,,24305,,24305
SUNY College of Environmental Science and Forestry,"Track and Field, X-Country",Syracuse,Other,919,751,1670,"Public, 4-year or above",Women,,18,,,372,6694,,9985,,10194
Vassar College,"Track and Field, X-Country",Poughkeepsie,NCAA Division III (without football),1049,1331,2380,"Private nonprofit, 4-year or above",Women,,17,,,849,14438,,58343,,58143
CUNY City College,"Track and Field, X-Country",New York,NCAA Division III (without football),4509,4790,9299,"Public, 4-year or above",Women,,17,,,207,3521,,15453,,12140
Niagara University,"Track and Field, X-Country",Niagara University,NCAA Division I-AAA,1149,1669,2818,"Private nonprofit, 4-year or above",Women,,16,,,1014,16228,,89072,,89072
St Bonaventure University,"Track and Field, X-Country",Saint Bonaventure,NCAA Division I-AAA,851,867,1718,"Private nonprofit, 4-year or above",Women,,16,,,1221,19543,,71508,,71508
State University of New York at New Paltz,"Track and Field, X-Country",New Paltz,NCAA Division III (without football),2299,3751,6050,"Public, 4-year or above",Women,,16,,,1243,19886,,47046,,47046
College of Staten Island CUNY,"Track and Field, X-Country",Staten Island,NCAA Division III (without football),4528,5493,10021,"Public, 4-year or above",Women,,16,,,739,11826,,17101,,17101
Siena College,"Track and Field, X-Country",Loudonville,NCAA Division I-AAA,1428,1556,2984,"Private nonprofit, 4-year or above",Women,,15,,,1621,24310,,80015,,80015
Saint John Fisher College,"Track and Field, X-Country",Rochester,NCAA Division III (with football),1078,1581,2659,"Private nonprofit, 4-year or above",Women,,15,,,432,6480,,28845,,28845
Clarkson University,"Track and Field, X-Country",Potsdam,NCAA Division III (without football),2201,920,3121,"Private nonprofit, 4-year or above",Women,,15,,,598,8973,,22810,,22810
SUNY College at Potsdam,"Track and Field, X-Country",Potsdam,NCAA Division III (without football),1562,2011,3573,"Public, 4-year or above",Women,,15,,,491,7369,,17789,,17790
Farmingdale State College,"Track and Field, X-Country",Farmingdale,NCAA Division III (without football),3701,2451,6152,"Public, 4-year or above",Women,,15,,,307,4601,,13601,,13601
St. Thomas Aquinas College,"Track and Field, X-Country",Sparkill,NCAA Division II (without football),506,580,1086,"Private nonprofit, 4-year or above",Women,,14,,,725,10150,,88097,,123659
SUNY at Albany,"Track and Field, X-Country",Albany,NCAA Division I-AA,6228,5867,12095,"Public, 4-year or above",Women,,14,,,1903,26636,,32673,,29790
Albany College of Pharmacy and Health Sciences,"Track and Field, X-Country",Albany,Other,423,632,1055,"Private nonprofit, 4-year or above",Women,,14,,,269,3759,,7992,,9186
Monroe College,"Track and Field, X-Country",Bronx,Other,1858,2910,4768,"Private for-profit, 4-year or above",Women,,13,,,6005,78060,,156799,,156799
Elmira College,"Track and Field, X-Country",Elmira,NCAA Division III (without football),358,819,1177,"Private nonprofit, 4-year or above",Women,,13,,,352,4576,,61968,,61968
Fashion Institute of Technology,"Track and Field, X-Country",New York,NJCAA Division III,1033,6359,7392,"Public, 4-year or above",Women,,13,,,982,12767,,25768,,25768
Bard College,"Track and Field, X-Country",Annandale-On-Hudson,NCAA Division III (without football),888,1094,1982,"Private nonprofit, 4-year or above",Women,,13,,,521,6773,,10777,,10777
D'Youville College,"Track and Field, X-Country",Buffalo,NCAA Division III (without football),416,1087,1503,"Private nonprofit, 4-year or above",Women,,13,,,473,6150,,8758,,8758
SUNY College of Agriculture and Technology at Cobleskill,"Track and Field, X-Country",Cobleskill,NCAA Division III (without football),1177,1233,2410,"Public, 4-year or above",Women,,12,,,1714,20573,,40539,,40539
The College of Saint Rose,"Track and Field, X-Country",Albany,NCAA Division II (without football),852,1655,2507,"Private nonprofit, 4-year or above",Women,,12,,,1280,15359,,28171,,28171
Wells College,"Track and Field, X-Country",Aurora,NCAA Division III (without football),172,347,519,"Private nonprofit, 4-year or above",Women,,12,,,445,5341,,8846,,8846
Adelphi University,"Track and Field, X-Country",Garden City,NCAA Division II (without football),1403,3173,4576,"Private nonprofit, 4-year or above",Women,,11,,,3347,36814,,54137,,54137
Molloy College,"Track and Field, X-Country",Rockville Centre,NCAA Division II (without football),710,1964,2674,"Private nonprofit, 4-year or above",Women,,11,,,1007,11079,,40430,,38057
Paul Smiths College of Arts and Science,"Track and Field, X-Country",Paul Smiths,Other,570,311,881,"Private nonprofit, 4-year or above",Women,,11,,,1046,11501,,22177,,22177
Morrisville State College,"Track and Field, X-Country",Morrisville,NCAA Division III (with football),1283,1221,2504,"Public, 4-year or above",Women,,11,,,941,10350,,21966,,21966
Keuka College,"Track and Field, X-Country",Keuka Park,NCAA Division III (without football),383,964,1347,"Private nonprofit, 4-year or above",Women,,11,,,711,7817,,19136,,19136
Yeshiva University,"Track and Field, X-Country",New York,NCAA Division III (without football),1433,1291,2724,"Private nonprofit, 4-year or above",Women,,11,,,874,9617,,16337,,16337
Mohawk Valley Community College,"Track and Field, X-Country",Utica,NJCAA Division III,1985,2002,3987,"Public, 2-year",Women,,11,,,487,5357,,10992,,10992
CUNY Brooklyn College,"Track and Field, X-Country",Brooklyn,NCAA Division III (without football),4115,5697,9812,"Public, 4-year or above",Women,,11,,,497,5463,,10757,,10757
Nyack College,"Track and Field, X-Country",Nyack,NCAA Division II (without football),544,872,1416,"Private nonprofit, 4-year or above",Women,,10,,,1774,17740,,174827,,174827
SUNY at Purchase College,"Track and Field, X-Country",Purchase,NCAA Division III (without football),1648,2046,3694,"Public, 4-year or above",Women,,10,,,434,4337,,16000,,15530
SUNY College of Technology at Alfred,"Track and Field, X-Country",Alfred,NCAA Division III (with football),2139,1187,3326,"Public, 4-year or above",Women,,10,,,227,2269,,22400,,15336
SUNY College of Technology at Canton,"Track and Field, X-Country",Canton,Other,1288,1505,2793,"Public, 4-year or above",Women,,10,,,556,5557,,16459,,13778
College of Mount Saint Vincent,"Track and Field, X-Country",Bronx,NCAA Division III (without football),490,1087,1577,"Private nonprofit, 4-year or above",Women,,10,,,660,6600,,13610,,12942
Alfred University,"Track and Field, X-Country",Alfred,NCAA Division III (with football),928,881,1809,"Private nonprofit, 4-year or above",Women,,10,,,143,1429,,8531,,8531
CUNY Queensborough Community College,"Track and Field, X-Country",Bayside,NJCAA Division III,4558,4966,9524,"Public, 2-year",Women,,10,,,370,3700,,6421,,6421
New York Institute of Technology,"Track and Field, X-Country",Old Westbury,NCAA Division II (without football),2286,1332,3618,"Private nonprofit, 4-year or above",Women,,9,,,843,7584,,130414,,130414
Pace University-New York,"Track and Field, X-Country",New York,NCAA Division II (with football),2857,4362,7219,"Private nonprofit, 4-year or above",Women,,9,,,906,8151,,100637,,101587
Cazenovia College,"Track and Field, X-Country",Cazenovia,NCAA Division III (without football),271,692,963,"Private nonprofit, 4-year or above",Women,,9,,,565,5081,,7238,,7238
Dominican College of Blauvelt,"Track and Field, X-Country",Orangeburg,NCAA Division II (without football),469,800,1269,"Private nonprofit, 4-year or above",Women,,8,,,802,6412,,65508,,65508
Sarah Lawrence College,"Track and Field, X-Country",Bronxville,Other,385,966,1351,"Private nonprofit, 4-year or above",Women,,8,,,338,2705,,23380,,23380
CUNY John Jay College of Criminal Justice,"Track and Field, X-Country",New York,NCAA Division III (without football),4393,5826,10219,"Public, 4-year or above",Women,,8,,,276,2210,,20439,,20439
CUNY Queens College,"Track and Field, X-Country",Queens,NCAA Division II (without football),4942,6119,11061,"Public, 4-year or above",Women,,8,,,338,2702,,20343,,20306
CUNY Kingsborough Community College,"Track and Field, X-Country",Brooklyn,NJCAA Division III,4767,5398,10165,"Public, 2-year",Women,,8,,,750,6002,,16670,,17920
The College of New Rochelle,"Track and Field, X-Country",New Rochelle,NCAA Division III (without football),286,2379,2665,"Private nonprofit, 4-year or above",Women,,8,,,811,6486,,17904,,17904
Herkimer County Community College,"Track and Field, X-Country",Herkimer,NJCAA Division III,810,1023,1833,"Public, 2-year",Women,,8,,,279,2231,,14309,,14309
Medaille College,"Track and Field, X-Country",Buffalo,NCAA Division III (without football),561,1188,1749,"Private nonprofit, 4-year or above",Women,,8,,,674,5388,,13927,,12607
Hilbert College,"Track and Field, X-Country",Hamburg,NCAA Division III (without football),370,472,842,"Private nonprofit, 4-year or above",Women,,8,,,508,4066,,8635,,8635
LIU Brooklyn,"Track and Field, X-Country",Brooklyn,NCAA Division I-AAA,1312,2798,4110,"Private nonprofit, 4-year or above",Women,,7,,,2838,19867,,159014,,159014
Hartwick College,"Track and Field, X-Country",Oneonta,NAIA Division III,591,915,1506,"Private nonprofit, 4-year or above",Women,,7,,,738,5163,,23356,,23356
SUNY Maritime College,"Track and Field, X-Country",Throggs Neck,NCAA Division III (with football),1419,160,1579,"Public, 4-year or above",Women,,7,,,446,3125,,23390,,19939
SUNY College at Old Westbury,"Track and Field, X-Country",Old Westbury,NCAA Division III (without football),1494,2142,3636,"Public, 4-year or above",Women,,7,,,1519,10631,,18409,,18409
SUNY Institute of Technology at Utica-Rome,"Track and Field, X-Country",Utica,NCAA Division III (without football),1090,523,1613,"Public, 4-year or above",Women,,7,,,1159,8112,,16241,,15946
Concordia College-New York,"Track and Field, X-Country",Bronxville,NCAA Division II (without football),276,555,831,"Private nonprofit, 4-year or above",Women,,6,,,167,1001,,52451,,52451
Dowling College,"Track and Field, X-Country",Oakdale,NCAA Division II (without football),562,518,1080,"Private nonprofit, 4-year or above",Women,,6,,,688,4129,,25929,,25929
United States Merchant Marine Academy,"Track and Field, X-Country",Kings Point,NCAA Division III (with football),793,146,939,"Public, 4-year or above",Women,,6,,,1311,7867,,21851,,18149
Pratt Institute-Main,"Track and Field, X-Country",Brooklyn,Other,981,2146,3127,"Private nonprofit, 4-year or above",Women,,6,,,502,3011,,5898,,5898
Dutchess Community College,"Track and Field, X-Country",Poughkeepsie,NJCAA Division III,2316,2289,4605,"Public, 2-year",Women,,6,,,157,939,,5699,,5090
Berkeley College-New York,"Track and Field, X-Country",New York,Other,1449,2433,3882,"Private for-profit, 4-year or above",Women,,5,,,4000,20000,,23000,,23000
CUNY Bernard M Baruch College,"Track and Field, X-Country",New York,NCAA Division III (without football),5673,5123,10796,"Public, 4-year or above",Women,,5,,,926,4629,,18450,,15764
Vaughn College of Aeronautics and Technology,"Track and Field, X-Country",Flushing,Other,1092,169,1261,"Private nonprofit, 4-year or above",Women,,5,,,225,1123,,5735,,5735
Finger Lakes Community College,"Track and Field, X-Country",Canandaigua,NJCAA Division III,1506,1750,3256,"Public, 2-year",Women,,4,,,1701,6804,,21942,,21942
Manhattanville College,"Track and Field, X-Country",Purchase,NCAA Division III (without football),609,1098,1707,"Private nonprofit, 4-year or above",Women,,4,,,152,609,,12246,,13059
Nassau Community College,"Track and Field, X-Country",Garden City,NJCAA Division III,6765,6210,12975,"Public, 2-year",Women,,4,,,357,1428,,9678,,9678
SUNY Broome Community College,"Track and Field, X-Country",Binghamton,NJCAA Division III,1973,2318,4291,"Public, 2-year",Women,,4,,,848,3392,,5523,,5523
Hudson Valley Community College,"Track and Field, X-Country",Troy,NJCAA Division III,3578,2594,6172,"Public, 2-year",Women,,3,,,1441,4322,,7735,,7735
Columbia-Greene Community College,"Track and Field, X-Country",Hudson,NJCAA Division III,373,475,848,"Public, 2-year",Women,,2,,,515,1029,,8439,,7946
Onondaga Community College,"Track and Field, X-Country",Syracuse,NJCAA Division III,3184,3062,6246,"Public, 2-year",Women,,2,,,906,1811,,7296,,5835
New York University,Volleyball,New York,NCAA Division III (without football),10184,13266,23450,"Private nonprofit, 4-year or above",Men,25,,2986,74655,,,211611,,211611,
State University of New York at New Paltz,Volleyball,New Paltz,NCAA Division III (without football),2299,3751,6050,"Public, 4-year or above",Men,20,,2107,42147,,,119256,,118568,
Vassar College,Volleyball,Poughkeepsie,NCAA Division III (without football),1049,1331,2380,"Private nonprofit, 4-year or above",Men,11,,3320,36525,,,104070,,102742,
Elmira College,Volleyball,Elmira,NCAA Division III (without football),358,819,1177,"Private nonprofit, 4-year or above",Men,13,,3379,43932,,,93732,,93732,
Keuka College,Volleyball,Keuka Park,NCAA Division III (without football),383,964,1347,"Private nonprofit, 4-year or above",Men,16,,2284,36544,,,91130,,91130,
Nazareth College,Volleyball,Rochester,NCAA Division III (without football),535,1382,1917,"Private nonprofit, 4-year or above",Men,19,,2517,47814,,,90713,,84058,
Bard College,Volleyball,Annandale-On-Hudson,NCAA Division III (without football),888,1094,1982,"Private nonprofit, 4-year or above",Men,12,,2889,34671,,,69202,,66802,
SUNY Institute of Technology at Utica-Rome,Volleyball,Utica,NCAA Division III (without football),1090,523,1613,"Public, 4-year or above",Men,12,,2593,31117,,,57500,,57300,
Wells College,Volleyball,Aurora,NCAA Division III (without football),172,347,519,"Private nonprofit, 4-year or above",Men,13,,2115,27489,,,51865,,51865,
Medaille College,Volleyball,Buffalo,NCAA Division III (without football),561,1188,1749,"Private nonprofit, 4-year or above",Men,13,,1953,25389,,,37764,,41419,
CUNY York College,Volleyball,Jamaica,NCAA Division III (without football),1736,3333,5069,"Public, 4-year or above",Men,14,,1600,22398,,,24061,,38160,
SUNY at Purchase College,Volleyball,Purchase,NCAA Division III (without football),1648,2046,3694,"Public, 4-year or above",Men,9,,1768,15915,,,40000,,37999,
D'Youville College,Volleyball,Buffalo,NCAA Division III (without football),416,1087,1503,"Private nonprofit, 4-year or above",Men,15,,1361,20409,,,36406,,36406,
CUNY Bernard M Baruch College,Volleyball,New York,NCAA Division III (without football),5673,5123,10796,"Public, 4-year or above",Men,12,,1357,16283,,,40525,,35715,
Yeshiva University,Volleyball,New York,NCAA Division III (without football),1433,1291,2724,"Private nonprofit, 4-year or above",Men,13,,1831,23801,,,34838,,34838,
CUNY Hunter College,Volleyball,New York,NCAA Division III (without football),4261,7804,12065,"Public, 4-year or above",Men,14,,1083,15159,,,31438,,31438,
Sarah Lawrence College,Volleyball,Bronxville,Other,385,966,1351,"Private nonprofit, 4-year or above",Men,10,,1392,13919,,,28423,,28423,
CUNY Brooklyn College,Volleyball,Brooklyn,NCAA Division III (without football),4115,5697,9812,"Public, 4-year or above",Men,11,,1340,14744,,,25446,,25446,
The Sage Colleges,Volleyball,Troy,NCAA Division III (without football),311,1147,1458,"Private nonprofit, 4-year or above",Men,7,,2043,14300,,,21063,,25300,
College of Mount Saint Vincent,Volleyball,Bronx,NCAA Division III (without football),490,1087,1577,"Private nonprofit, 4-year or above",Men,15,,571,8570,,,24257,,23911,
CUNY Medgar Evers College,Volleyball,Brooklyn,NCAA Division III (without football),1233,3011,4244,"Public, 4-year or above",Men,9,,1540,13863,,,23820,,23820,
Hilbert College,Volleyball,Hamburg,NCAA Division III (without football),370,472,842,"Private nonprofit, 4-year or above",Men,13,,1559,20264,,,23547,,23547,
College of Staten Island CUNY,Volleyball,Staten Island,NCAA Division III (without football),4528,5493,10021,"Public, 4-year or above",Men,13,,1146,14899,,,22899,,22899,
CUNY John Jay College of Criminal Justice,Volleyball,New York,NCAA Division III (without football),4393,5826,10219,"Public, 4-year or above",Men,12,,774,9286,,,22021,,22021,
CUNY Lehman College,Volleyball,Bronx,NCAA Division III (without football),1961,3903,5864,"Public, 4-year or above",Men,10,,746,7461,,,20927,,20927,
Saint Joseph's College-New York,Volleyball,Brooklyn,NCAA Division III (without football),1103,2118,3221,"Private nonprofit, 4-year or above",Men,8,,983,7865,,,16717,,16717,
CUNY City College,Volleyball,New York,NCAA Division III (without football),4509,4790,9299,"Public, 4-year or above",Men,14,,587,8213,,,10149,,14462,
Pratt Institute-Main,Volleyball,Brooklyn,Other,981,2146,3127,"Private nonprofit, 4-year or above",Men,9,,911,8202,,,13857,,13857,
New York University,Volleyball,New York,NCAA Division III (without football),10184,13266,23450,"Private nonprofit, 4-year or above",Women,,24,,,5417,129996,,266515,,265513
Saint Joseph's College-New York,Volleyball,Brooklyn,NCAA Division III (without football),1103,2118,3221,"Private nonprofit, 4-year or above",Women,,24,,,1714,41131,,71745,,71745
St John's University-New York,Volleyball,Queens,NCAA Division I-AAA,4884,5671,10555,"Private nonprofit, 4-year or above",Women,,20,,,5571,111422,,1212260,,1212260
SUNY College of Agriculture and Technology at Cobleskill,Volleyball,Cobleskill,NCAA Division III (without football),1177,1233,2410,"Public, 4-year or above",Women,,19,,,1285,24417,,53151,,53151
Daemen College,Volleyball,Amherst,NCAA Division II (without football),497,1179,1676,"Private nonprofit, 4-year or above",Women,,18,,,3473,62518,,223659,,223659
Utica College,Volleyball,Utica,NCAA Division III (with football),969,1227,2196,"Private nonprofit, 4-year or above",Women,,18,,,1710,30788,,70802,,68464
D'Youville College,Volleyball,Buffalo,NCAA Division III (without football),416,1087,1503,"Private nonprofit, 4-year or above",Women,,18,,,1384,24905,,39752,,39752
Colgate University,Volleyball,Hamilton,NCAA Division I-AA,1305,1558,2863,"Private nonprofit, 4-year or above",Women,,17,,,5225,88824,,623508,,623508
Rochester Institute of Technology,Volleyball,Rochester,Other,8188,4003,12191,"Private nonprofit, 4-year or above",Women,,17,,,3392,57662,,204514,,204514
SUNY Oneonta,Volleyball,Oneonta,NCAA Division III (without football),2237,3474,5711,"Public, 4-year or above",Women,,17,,,2175,36980,,125598,,123598
Mercy College,Volleyball,Dobbs Ferry,NCAA Division II (without football),1636,3474,5110,"Private nonprofit, 4-year or above",Women,,17,,,3112,52896,,120004,,119504
Keuka College,Volleyball,Keuka Park,NCAA Division III (without football),383,964,1347,"Private nonprofit, 4-year or above",Women,,17,,,2607,44320,,100489,,100489
Saint John Fisher College,Volleyball,Rochester,NCAA Division III (with football),1078,1581,2659,"Private nonprofit, 4-year or above",Women,,17,,,2277,38702,,85568,,85568
Houghton College,Volleyball,Houghton,NCAA Division III (without football),352,641,993,"Private nonprofit, 4-year or above",Women,,17,,,2228,37876,,60495,,60495
Mount Saint Mary College,Volleyball,Newburgh,NCAA Division III (without football),522,1185,1707,"Private nonprofit, 4-year or above",Women,,17,,,1512,25710,,42315,,41066
Syracuse University,Volleyball,Syracuse,NCAA Division I-A,6394,7835,14229,"Private nonprofit, 4-year or above",Women,,16,,,14690,235039,,729682,,1496539
Siena College,Volleyball,Loudonville,NCAA Division I-AAA,1428,1556,2984,"Private nonprofit, 4-year or above",Women,,16,,,5864,93826,,789363,,789363
Stony Brook University,Volleyball,Stony Brook,NCAA Division I-AA,8253,6890,15143,"Public, 4-year or above",Women,,16,,,5844,93499,,535863,,654790
